step,loss
26100,0.0031756
26200,0.00339392
26300,0.00334856
26400,0.00447243
26500,0.00304135
26600,0.00285364
26700,0.00308099
26800,0.00315989
26900,0.00355025
27000,0.00298225
27100,0.00280402
27200,0.00326384
27300,0.00268649
27400,0.00356472
27500,0.00309517
27600,0.00259763
27700,0.00314724
27800,0.00344129
27900,0.00345063
28000,0.00322203
28100,0.0033359
28200,0.00254799
28300,0.00300063
28400,0.00279662
28500,0.00265012
28600,0.00250336
28700,0.00308113
28800,0.00298171
28900,0.0030941
29000,0.00287777
29100,0.00383631
29200,0.0029933
29300,0.00271807
29400,0.00325519
29500,0.00313406
29600,0.00321657
29700,0.0033321
29800,0.00292193
29900,0.00333605
30000,0.00289764
30100,0.00332478
30200,0.00280389
30300,0.00332866
30400,0.00400528
30500,0.00370942
30600,0.00271287
30700,0.0032639
30800,0.00270549
30900,0.00296069
31000,0.0029378
31100,0.00294485
31200,0.00376024
31300,0.00273552
31400,0.00252573
31500,0.00282028
31600,0.00247039
31700,0.00232958
31800,0.00294285
31900,0.0034611
32000,0.00382451
32100,0.00310351
32200,0.00496727
32300,0.00299405
32400,0.00279355
32500,0.00286045
32600,0.00296059
32700,0.00312448
32800,0.00332284
32900,0.00257275
33000,0.00275612
33100,0.00281074
33200,0.00305879
33300,0.00294236
33400,0.00268608
33500,0.00230683
33600,0.00296122
33700,0.00274995
33800,0.00305867
33900,0.00259345
34000,0.00270234
34100,0.00275503
34200,0.00279723
34300,0.00281667
34400,0.0024292
34500,0.00230868
34600,0.00269246
34700,0.00271918
34800,0.0026928
34900,0.00255907
35000,0.00299595
35100,0.00290886
35200,0.00251805
35300,0.00338845
35400,0.00476783
35500,0.00264692
35600,0.00304473
35700,0.00306319
35800,0.00465509
35900,0.00310783
36000,0.00302576
36100,0.00228799
36200,0.00266114
36300,0.0031765
36400,0.00247166
36500,0.00309359
36600,0.00281722
36700,0.00238723
36800,0.00317022
36900,0.00275004
37000,0.00242652
37100,0.00249561
37200,0.00310589
37300,0.00307948
37400,0.00253416
37500,0.00271291
37600,0.00192905
37700,0.00305285
37800,0.00207438
37900,0.00272909
38000,0.00269363
38100,0.0026756
38200,0.00262366
38300,0.00215069
38400,0.00288571
38500,0.00275859
38600,0.00248808
38700,0.00243428
38800,0.00341418
38900,0.00213761
39000,0.00327598
39100,0.00291888
39200,0.00306172
39300,0.00208277
39400,0.00299947
39500,0.00229471
39600,0.00287079
39700,0.00266779
39800,0.00273121
39900,0.00246297
40000,0.00316855
40100,0.00327852
40200,0.0024893
40300,0.00340179
40400,0.002514
40500,0.00324766
40600,0.00256887
40700,0.00275739
40800,0.00348362
40900,0.00209063
41000,0.00271054
41100,0.00293365
41200,0.00258193
41300,0.00271599
41400,0.00267061
41500,0.00218083
41600,0.00251623
41700,0.00236145
41800,0.00269765
41900,0.00251038
42000,0.00314754
42100,0.00296772
42200,0.00293774
42300,0.00245372
42400,0.00308331
42500,0.00242858
42600,0.00241347
42700,0.00257119
42800,0.00287206
42900,0.00284667
43000,0.00212105
43100,0.00201734
43200,0.0023641
43300,0.00244225
43400,0.00275828
43500,0.00271477
43600,0.00234514
43700,0.00229539
43800,0.00242161
43900,0.00295805
44000,0.00219427
44100,0.00240587
44200,0.0027271
44300,0.00218236
44400,0.00252116
44500,0.00225681
44600,0.00291567
44700,0.00228848
44800,0.00270954
44900,0.00266718
45000,0.00234809
45100,0.00236236
45200,0.00233328
45300,0.00245033
45400,0.00278389
45500,0.00269235
45600,0.00252031
45700,0.00313424
45800,0.00251855
45900,0.0025918
46000,0.00413885
46100,0.00247063
46200,0.00277795
46300,0.00259109
46400,0.00279728
46500,0.0022731
46600,0.00270013
46700,0.00287436
46800,0.00228543
46900,0.00261384
47000,0.00271171
47100,0.00258894
47200,0.00282423
47300,0.00270245
47400,0.00242981
47500,0.00246215
47600,0.00263617
47700,0.00266422
47800,0.00210606
47900,0.00243295
48000,0.0023513
48100,0.00246667
48200,0.00242251
48300,0.00213988
48400,0.00262187
48500,0.00251994
48600,0.00260053
48700,0.00306657
48800,0.00254777
48900,0.00252009
49000,0.00616734
49100,0.00325635
49200,0.00303722
49300,0.00248093
49400,0.00324435
49500,0.00254344
49600,0.00249341
49700,0.0023791
49800,0.00241182
49900,0.00216516
50000,0.00228464
50100,0.00255737
50200,0.00232975
50300,0.00293554
50400,0.00238678
50500,0.00230834
50600,0.00216352
50700,0.00237933
50800,0.00224006
50900,0.00247451
51000,0.0027509
51100,0.00266652
51200,0.00233189
51300,0.00212197
51400,0.00193192
51500,0.00229042
51600,0.00213603
51700,0.00253172
51800,0.0027206
51900,0.00247243
52000,0.00272109
52100,0.0023
52200,0.00230616
52300,0.00242817
52400,0.00240432
52500,0.00260722
52600,0.002363
52700,0.00291977
52800,0.00267459
52900,0.002553
53000,0.00217835
